sa2_name_2011,Unemployment_rate,Unemployment,Labour_force
Derwent Park - Lutana,9.9,198,"1,993"
Glenorchy,12.3,581,"4,710"
Montrose - Rosetta,6.7,148,"2,225"
Moonah,11.8,299,"2,532"
New Norfolk,9.6,269,"2,798"
West Moonah,8.8,173,"1,971"
Kingston - Huntingfield,4.4,245,"5,578"
Kingston Beach - Blackmans Bay,3.3,179,"5,355"
Margate - Snug,2.8,107,"3,852"
Taroona - Bonnet Hill,2.6,47,"1,812"
Hobart,6.8,325,"4,745"
Lenah Valley - Mount Stuart,3.3,155,"4,659"
Mount Nelson - Dynnyrne,3.1,78,"2,497"
New Town,5.7,171,"3,019"
Sandy Bay,2.3,139,"6,054"
South Hobart - Fern Tree,4.1,138,"3,328"
West Hobart,3.9,140,"3,564"
Dodges Ferry - Lewisham,6.7,253,"3,752"
Sorell - Richmond,4.8,194,"4,061"
Invermay,15.1,243,"1,612"
Kings Meadows - Punchbowl,8.9,165,"1,858"
Launceston,9.4,304,"3,222"
Legana,2.8,57,"2,071"
Mowbray,14.2,247,"1,734"
Newnham - Mayfield,13.6,532,"3,926"
Newstead,5.1,128,"2,489"
Norwood (Tas.),3.1,61,"1,987"
Prospect Vale - Blackstone,3.2,112,"3,541"
Ravenswood,23.4,345,"1,476"
Riverside,4.0,137,"3,389"
South Launceston,8.1,220,"2,708"
Summerhill - Prospect,5.6,142,"2,537"
Trevallyn,3.9,107,"2,729"
Waverley - St Leonards,8.6,146,"1,702"
West Launceston,4.5,107,"2,352"
Youngtown - Relbia,3.9,100,"2,577"
Beauty Point - Beaconsfield,11.2,185,"1,656"
Deloraine,6.5,164,"2,508"
Grindelwald - Lanena,4.4,126,"2,859"
Hadspen - Carrick,3.3,63,"1,898"
Westbury,5.6,112,"2,009"
Dilston - Lilydale,4.7,100,"2,138"
George Town,11.8,339,"2,883"
Longford,6.6,122,"1,835"
Northern Midlands,6.8,119,"1,739"
Perth - Evandale,3.3,84,"2,579"
Scottsdale - Bridport,6.5,242,"3,736"
St Helens - Scamander,10.5,262,"2,492"
Central Highlands,8.3,86,"1,038"
Derwent Valley,7.3,120,"1,646"
Southern Midlands,5.1,160,"3,145"
Bruny Island - Kettering,3.5,50,"1,424"
Cygnet,9.0,172,"1,910"
Geeveston - Dover,8.7,141,"1,629"
Huonville - Franklin,6.8,297,"4,371"
Forestier - Tasman,6.3,67,"1,064"
Triabunna - Bicheno,5.0,105,"2,110"
Acton - Upper Burnie,10.3,161,"1,562"
Burnie - Ulverstone Region,3.1,91,"2,896"
Burnie - Wivenhoe,11.0,217,"1,969"
Parklands - Camdale,6.4,192,"2,986"
Penguin - Sulphur Creek,4.1,106,"2,572"
Romaine - Havenview,5.3,103,"1,930"
Somerset,5.5,105,"1,908"
Ulverstone,5.9,190,"3,204"
West Ulverstone,7.1,140,"1,985"
Wynyard,5.5,157,"2,854"
Devonport,8.2,553,"6,719"
East Devonport,10.4,217,"2,085"
Latrobe,4.6,106,"2,283"
Miandetta - Don,3.7,69,"1,855"
Port Sorell,3.6,102,"2,839"
Quoiba - Spreyton,3.9,63,"1,606"
Sheffield - Railton,5.4,168,"3,091"
Turners Beach - Forth,3.2,58,"1,794"
King Island,1.6,15,952
North West,2.8,65,"2,288"
Smithton,5.4,111,"2,044"
Waratah,4.0,83,"2,083"
West Coast (Tas.),7.4,173,"2,327"
Darwin City,3.7,165,"4,476"
Fannie Bay - The Gardens,1.1,25,"2,218"
Larrakeyah,1.5,40,"2,677"
Ludmilla - The Narrows,5.6,93,"1,675"
Parap,2.4,39,"1,602"
Stuart Park,2.3,69,"2,984"
Woolner - Bayview - Winnellie,1.1,23,"2,131"
Alawa,4.3,58,"1,338"
Anula,3.1,45,"1,452"
Berrimah,13.6,94,689
Brinkin - Nakara,4.1,92,"2,220"
Coconut Grove,5.3,96,"1,795"
Jingili,3.2,37,"1,154"
Karama,5.1,150,"2,956"
Leanyer,2.2,67,"3,106"
Lyons (NT),1.3,21,"1,639"
Malak - Marrara,4.8,143,"2,968"
Millner,4.4,75,"1,687"
Moil,3.9,48,"1,244"
Nightcliff,2.7,72,"2,716"
Rapid Creek,3.1,70,"2,265"
Tiwi,3.8,54,"1,421"
Wagaman,3.3,43,"1,299"
Wanguri,3.9,46,"1,178"
Wulagi,2.7,43,"1,598"
Howard Springs,1.3,50,"3,853"
Humpty Doo,2.3,120,"5,169"
Virginia,1.8,41,"2,304"
Weddell,4.1,109,"2,654"
Bakewell,2.1,49,"2,306"
Driver,4.3,81,"1,877"
Durack - Marlow Lagoon,1.5,39,"2,561"
Gray,8.9,178,"1,998"
Moulden,10.4,180,"1,738"
Palmerston - North,2.1,63,"3,025"
Palmerston - South,4.3,35,818
Rosebery - Bellamack,1.9,66,"3,385"
Woodroffe,4.8,97,"2,024"
Charles,2.7,87,"3,186"
East Side,1.7,74,"4,280"
Flynn (NT),1.2,42,"3,619"
Larapinta,1.0,43,"4,171"
Mount Johns,0.8,24,"3,195"
Petermann - Simpson,3.2,57,"1,758"
Ross,1.7,27,"1,617"
Sandover - Plenty,11.4,152,"1,338"
Tanami,7.9,144,"1,819"
Yuendumu - Anmatjere,12.7,115,905
Barkly,9.0,113,"1,259"
Tennant Creek,3.1,68,"2,166"
Alligator,2.1,70,"3,386"
Daly,5.6,66,"1,185"
Thamarrurr,11.5,95,827
Tiwi Islands,8.5,112,"1,320"
West Arnhem,8.9,222,"2,494"
Anindilyakwa,3.4,63,"1,834"
East Arnhem,8.2,266,"3,240"
Nhulunbuy,1.1,16,"1,507"
Elsey,6.7,72,"1,072"
Gulf,6.8,169,"2,485"
Katherine,1.8,135,"7,412"
Victoria River,6.1,79,"1,300"
Aranda,2.6,32,"1,244"
Belconnen,5.5,206,"3,762"
Bruce,2.6,121,"4,698"
Charnwood,10.4,167,"1,603"
Cook,2.9,44,"1,542"
Dunlop,3.5,144,"4,156"
Evatt,3.5,109,"3,084"
Florey,5.8,167,"2,869"
Flynn (ACT),3.8,77,"2,002"
Fraser,3.2,37,"1,154"
Giralang,2.7,50,"1,876"
Hawker,4.5,67,"1,501"
Higgins,4.8,75,"1,551"
Holt,7.0,176,"2,527"
Kaleen,3.5,152,"4,283"
Latham,5.2,101,"1,928"
Macgregor (ACT),4.0,147,"3,679"
Macquarie,5.5,79,"1,430"
McKellar,3.8,60,"1,562"
Melba,4.5,75,"1,682"
Page,6.3,89,"1,402"
Scullin,7.3,109,"1,489"
Spence,5.8,85,"1,456"
Weetangera,1.5,21,"1,360"
